aviation_city_code,city_name_local_language,city_name_EN,country_region_name,country_region_code
SHA,上海市, SHANGHAI,中国,CN
CAN,广州市, GUANGZHOU,中国,CN
PEK,北京市, BEIJING,中国,CN
PKX,北京市, BEIJING,中国,CN
SZX,深圳市, SHENZHEN,中国,CN
CTU,成都市, CHENGDU,中国,CN
CKG,重庆市, CHONGQING,中国,CN
URC,乌鲁木齐市, URUMQI,中国,CN
TSA,葫芦岛市, TAIBEI,中国,CN
PVG,上海市, SHANGHAI,中国,CN
KMG,昆明市, KUNMING,中国,CN
TAO,青岛市, QINGDAO,中国,CN
SHE,沈阳市, SHENYANG,中国,CN
WUH,武汉市, WUHAN,中国,CN
HRB,哈尔滨市, HARBIN,中国,CN
DLC,大连市, DALIAN,中国,CN
XIY,西安市, XIAN,中国,CN
TSN,天津市, TIANJIN,中国,CN
HGH,杭州市, HANGZHOU,中国,CN
CSX,长沙市, CHANGSHA,中国,CN
CGO,郑州市, ZHENGZHOU,中国,CN
XMN,厦门市, XIAMEN,中国,CN
TNA,济南市, JINAN,中国,CN
NAY,北京市, BEIJING,中国,CN
HAK,海口市, HAIKOU,中国,CN
KWE,贵阳市, GUIYANG,中国,CN
NKG,南京市, NANJING,中国,CN
WNZ,温州市, WENZHOU,中国,CN
CGQ,长春市, CHANGCHUN,中国,CN
NGB,宁波市, NINGBO,中国,CN
KHN,南昌市, NANCHANG,中国,CN
KHH,阳江市, GAOXIONG,中国,CN
HFE,合肥市, HEFEI,中国,CN
SYX,三亚市, SANYA,中国,CN
NNG,南宁市, NANNING,中国,CN
YNT,烟台市, YANTAI,中国,CN
SJW,石家庄市, SHIJIAZHUANG,中国,CN
INC,银川市, YINCHUAN,中国,CN
LHW,兰州市, LANZHOU,中国,CN
XNN,西宁市, XINING,中国,CN
FOC,福州市, FUZHOU,中国,CN
KWL,桂林市, GUILIN,中国,CN
LXA,拉萨市, LHASA,中国,CN
XUZ,徐州市, XUZHOU,中国,CN
TYN,太原市, TAIYUAN,中国,CN
ZHA,湛江市, ZHANJIANG,中国,CN
WEH,威海市, WEIHAI,中国,CN
JMU,佳木斯市, JIAMUSI,中国,CN
HET,呼和浩特市, HOHHOT,中国,CN
RMQ, 台中, TAIZHONG,中国台湾,TW
WUX,无锡市, WUXI,中国,CN
YIW,金华市, YIWU,中国,CN
ZUH,珠海市, ZHUHAI,中国,CN
JHG,西双版纳傣族自治州, JINGHONG,中国,CN
LZH,柳州市, LIUZHOU,中国,CN
KHG,喀什地区, KASHGAR,中国,CN
SZV,苏州市, SUZHOU,中国,CN
YIH,宜昌市, YICHANG,中国,CN
YBP,宜宾市, YIBIN,中国,CN
LYI,临沂市, LINYI,中国,CN
DSN,鄂尔多斯市, ORDOS,中国,CN
BAV,包头市, BAOTOU,中国,CN
LJG,丽江市, LIJIANG,中国,CN
MDG,牡丹江市, MUDANJIANG,中国,CN
AKU,阿克苏地区, AKSU,中国,CN
JJN,泉州市, QUANZHOU,中国,CN
DDG,丹东市, DANDONG,中国,CN
JNZ,锦州市, JINZHOU,中国,CN
YNJ,延边朝鲜族自治州, YANJI,中国,CN
LYA,洛阳市, LUOYANG,中国,CN
WEF,潍坊市, WEIFANG,中国,CN
LYG,连云港市, LIANYUNGANG,中国,CN
CZX,常州市, CHANGZHOU,中国,CN
JIL, 吉林, JILIN,中国,CN
HLD,呼伦贝尔市, HAILAR,中国,CN
SHP,秦皇岛市, QINHUANGDAO,中国,CN
SWA,揭阳市, JIEYANG,中国,CN
NDG,齐齐哈尔市, QIQIHAER,中国,CN
BHY,北海市, BEIHAI,中国,CN
XFN,襄阳市, XIANGYANG,中国,CN
HMI,哈密市, HAMI,中国,CN
WUS,南平市, WUYISHAN,中国,CN
DYG,张家界市, ZHANGJIAJIE,中国,CN
MIG,绵阳市, MIANYANG,中国,CN
DAT,大同市, DATONG,中国,CN
JGN,嘉峪关市, JIAYUGUAN,中国,CN
NTG,南通市, NANTONG,中国,CN
HYN,台州市, TAIZHOU,中国,CN
KOW,赣州市, GANZHOU,中国,CN
JIU,九江市, JIUJIANG,中国,CN
NNY,南阳市, NANYANG,中国,CN
TNN,大连市, TAINAN,中国,CN
ZYI,遵义市, ZUNYI,中国,CN
YIN,伊犁哈萨克自治州, YINING,中国,CN
CGD,常德市, CHANGDE,中国,CN
YNZ,盐城市, YANCHENG,中国,CN
KRL,巴音郭楞蒙古自治州, KORLA,中国,CN
UYN,榆林市, YULIN,中国,CN
XIC,凉山彝族自治州, XICHANG,中国,CN
HLH,兴安盟, ULANHOT,中国,CN
JUZ,衢州市, QUZHOU,中国,CN
LZO,泸州市, LUZHOU,中国,CN
DLU,大理白族自治州, DALIXIAGUAN,中国,CN
TXN,黄山市, HUANGSHAN,中国,CN
NAO,南充市, NANCHONG,中国,CN
JDZ,景德镇市, JINGDEZHEN,中国,CN
GOQ,海西蒙古族藏族自治州, GOLMUD,中国,CN
ENH,恩施土家族苗族自治州, ENSHI,中国,CN
FUG,阜阳市, FUYANG,中国,CN
TGO,通辽市, TONGLIAO,中国,CN
KNH, 金门, JINMEN,中国台湾,TW
HJJ,怀化市, HUAIHUA,中国,CN
SHS,荆州市, SHASHI,中国,CN
WJD,武汉市, WUHAN,中国,CN
HNY,衡阳市, HENGYANG,中国,CN
CIF,赤峰市, CHIFENG,中国,CN
DAX,达州市, DAZHOU,中国,CN
KRY,克拉玛依市, KARAMAY,中国,CN
HZG,汉中市, HANZHONG,中国,CN
DNH,酒泉市, DUNHUANG,中国,CN
JNG,济宁市, JINING,中国,CN
HSN,舟山市, ZHOUSHAN,中国,CN
WXN,重庆市, CHONGQING,中国,CN
MZG, 马公, PENGHU,中国台湾,TW
AQG,安庆市, ANQING,中国,CN
XIL,锡林郭勒盟, XILINHOT,中国,CN
CIH,长治市, CHANGZHI,中国,CN
HUN, 花莲, HUALIAN,中国台湾,TW
KCA,阿克苏地区, KUQA,中国,CN
HTN,和田地区, HETIAN,中国,CN
HEK,黑河市, HEIHE,中国,CN
TNH,通化市, TONGHUA,中国,CN
TTG,青岛市, TAIDONG,中国,CN
LUM,德宏傣族景颇族自治州, MANGSHI,中国,CN
KNC,吉安市, JIAN,中国,CN
AYN,安阳市, ANYANG,中国,CN
TEN,铜仁市, TONGREN,中国,CN
IQN,庆阳市, QINGYANG,中国,CN
BDU,昌都市, BARDUFOSS,中国,CN
AKA,安康市, ANKANG,中国,CN
LNJ,临沧市, LINCANG,中国,CN
WNH,文山壮族苗族自治州, WENSHAN,中国,CN
ZAT,昭通市, ZHAOTONG,中国,CN
GHN,德阳市, GUANGHAN,中国,CN
AOG,鞍山市, ANSHAN,中国,CN
MXZ,梅州市, MEIXIAN,中国,CN
IQM,巴音郭楞蒙古自治州, QIEMO,中国,CN
SYM,普洱市, PUER,中国,CN
JZH,阿坝藏族羌族自治州, JIUZHAIGOU,中国,CN
DIG,迪庆藏族自治州, DIQING,中国,CN
HSC,韶关市, SHAOGUAN,中国,CN
ENY,延安市, YANAN,中国,CN
CNI,大连市, DALIAN,中国,CN
GNI, 格林艾兰, GREENISLAND,中国台湾,TW
WUZ,梧州市, WUZHOU,中国,CN
CMJ, 七美, QIMEI,中国台湾,TW
CHG,朝阳市, CHAOYANG,中国,CN
BPX,昌都市, CHAMDO,中国,CN
AAT,阿勒泰地区, ALTAY,中国,CN
BSD,保山市, BAOSHAN,中国,CN
XEN,葫芦岛市, HULUDAO,中国,CN
CHW,酒泉市, JIUQUAN,中国,CN
NLT,青岛市, NALATI,中国,CN
NNN,黑河市, HEIHE,中国,CN
BFU,蚌埠市, BENGBU,中国,CN
FYN,阿勒泰地区, FUYUN,中国,CN
CYI,岳阳市, JIAYI,中国,CN
TCG,塔城地区, TACHENG,中国,CN
LZJ,丽江市, Lijiang(LijiangAirport),中国,CN
TXG,福州市, TAICHUNG,中国,CN
HLN,梧州市, HELENA(HelenaRegionalAirport),中国,CN
TTT, 台东, TAIDONG,中国台湾,TW
TPE, 台北, TAIBEI,中国台湾,TW
BPE,秦皇岛市,,中国,CN
YTY,扬州市,,中国,CN
SIN,新加坡,,新加坡,
KUL,吉隆坡,,马来西亚,
BKK,曼谷,,泰国,
HND,东京,,日本,
WDS,十堰市,,中国,CN
FRA, 法兰克福, FRANKFURT,德国,DE
HAM, 汉堡, HAMBURG,德国,DE
STR, 斯图加特, STUTTGART,德国,DE
TXL, 柏林, BERLIN,德国,DE
MUC, 慕尼黑, MUNICH,德国,DE
DUS, 杜塞尔多夫, DUSSELDORF,德国,DE
NUE, 纽伦堡, NUREMBERG,德国,DE
CGN, 科隆, COLOGNE,德国,DE
HAJ, 汉诺威, HANNOVER,德国,DE
DRS, 德累斯顿, DRESDEN,德国,DE
MSR, 明斯特, MUS/TURKISHAFB,德国,DE
DTM, 多特蒙德, DORTMUNDWICKEDE(DortmundAirport),德国,DE
BWE, 不伦瑞克, BRAUNSCHWEIG,德国,DE
FMO, 蒙斯特, MUENSTER,德国,DE
BRE, 不来梅, BREMEN,德国,DE
ESS, 埃森, ESSEN,德国,DE
HKG,香港,,中国香港,CN
SCN, 萨尔布鲁根, SAARBRUCKEN,德国,DE
KEL, 基尔, KIEL,德国,DE
BRV, 不来梅港, BREMERHAVEN,德国,DE
JUI, 儒伊斯特, JUIST,德国,DE
HDB, 海德堡," HEIDELBERG(HEIDELBERG,GERMANY)",德国,DE
KSF, 卡塞尔, KASSEL,德国,DE
MHG, 曼海姆, MANNHEIM,德国,DE
ERF, 艾福特, ERFURT,德国,DE
BYU, 拜伊罗特," BAYREUTH(BAYREUTH,GERMANYBINDLACHERBERG)",德国,DE
GWT, 叙尔特岛, SYLT,德国,DE
BMK, 博尔库姆, BORKUM,德国,DE
NRD, 诺德奈, NORDERNEY,德国,DE
BBH, 巴尔特, BARTH,德国,DE
NOE, 诺德代希, NORDDEICH,德国,DE
EME, 埃姆登, EMDEN,德国,DE
HDF, 赫林斯多夫, HERINGSDORF,德国,DE
LEJ, 莱比锡, LEIPZIG,德国,DE
HHN, 法兰克福, FRANKFURT,德国,DE
BER, 柏林, BERLIN,德国,DE
SXF, 柏林, BERLIN,德国,DE
THF, 柏林, BERLIN,德国,DE
XFW, 汉堡, HAMBURG,德国,DE
AMS,阿姆斯特丹,,荷兰,
BLL,比隆德,,丹麦,
NRT,东京,,日本,
MEL,墨尔本,,澳大利亚,
IST,伊斯坦布尔,,土耳其,
QYG,德国火车站,,德国,
HAN,河内,,越南,
BLR,班加罗尔,,印度,
DEL,新德里,,印度,
ICN,仁川,,韩国,
CGK,雅加达,,印度尼西亚,
ELP,艾尔帕索,,美国,
CDG,巴黎,,法国,
RKZ,日喀则市,,中国,
RTW,萨拉托夫,,俄罗斯,
FCO,罗马,,意大利,
MSP,明尼阿波利斯,,美国,
ORD,芝加哥,,美国,
PNQ,浦那,,印度,
GRU,圣保罗,,巴西,
BOM,孟买,,印度,
MNL,马尼拉,,菲律宾,
YCU,运城市,,中国,
WUA,乌海市,,中国,
YLX,玉林市,,中国,
KWL,桂林市,,中国,
SQD,上饶市,,中国,
ACX,黔西南布依族苗族自治州,,中国,
RLK,巴彦淖尔市,,中国,
HUZ,惠州市,,中国,
YKH,营口市,,中国,
